SKD DEJAVNOST;SPOL;STATUS ZAPOSLITVE;LETO;RAZRED NETO - SKUPAJ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2011;1320;19;15;20;12;8;15;15;14;38;41;50;84;127;132;135;97;106;106;108;130
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2012;1279;20;13;20;8;11;10;17;18;30;41;48;89;130;117;139;110;119;111;111;151
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2013;1357;19;16;24;12;10;11;14;19;21;24;54;71;121;161;139;116;103;123;133;162
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2014;1366;18;21;20;8;10;23;33;20;27;40;59;82;123;140;124;123;111;124;136;167
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2015;1358;21;21;20;12;11;23;23;19;27;29;53;88;114;130;139;133;104;132;148;149
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2016;1338;19;14;20;12;10;15;15;19;27;40;48;89;129;130;131;109;119;115;148;137
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2017;1340;18;22;20;16;9;17;24;20;28;39;58;89;127;127;106;105;109;116;142;155
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2018;1359;26;12;10;16;11;21;13;16;24;44;72;96;125;125;115;104;120;106;145;158
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2019;1358;14;19;17;12;10;13;19;26;27;63;73;109;131;124;100;115;104;96;150;146
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2020;1365;18;21;11;12;9;22;33;29;26;40;59;93;119;159;120;137;117;113;146;172
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2009;7698;95;127;173;189;258;391;512;554;625;682;663;585;530;495;406;350;300;219;219;325
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2010;7610;126;186;165;225;354;410;509;661;684;621;572;589;471;436;341;301;290;230;224;307
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2011;7933;132;158;192;284;401;474;598;690;729;592;568;539;481;411;337;311;262;233;223;316
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2012;7975;132;196;264;314;388;479;562;682;683;588;564;534;451;407;365;309;256;266;247;312
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2013;7818;128;255;201;290;374;490;558;660;688;631;561;585;477;435;395;324;271;277;252;323
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2014;7880;132;193;183;313;401;544;620;725;677;592;542;532;471;389;326;312;256;251;249;302
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2015;7899;113;182;174;317;392;525;592;667;691;574;587;524;475;398;336;296;266;261;247;282
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2016;7844;129;153;209;303;391;541;615;685;661;606;540;511;451;409;325;285;237;269;237;287
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2017;7766;157;188;174;298;406;494;585;673;683;612;541;496;481;407;341;305;265;267;249;280
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2018;7919;147;152;202;276;425;535;618;661;657;586;540;522;499;405;325;261;260;309;264;275
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2019;7505;140;199;199;321;386;552;595;670;557;523;495;478;420;421;293;262;262;260;231;241
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2020;8184;115;89;165;266;395;509;716;702;717;644;591;632;550;426;336;338;254;243;233;263
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2009;6104;67;84;113;136;220;344;447;497;559;604;548;465;421;376;287;244;176;146;143;227
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2010;6064;93;115;122;186;303;355;444;587;593;530;460;483;371;342;251;205;182;155;144;218
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2011;6284;92;126;150;234;326;416;530;604;632;505;460;430;356;296;245;206;160;153;143;224
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2012;6306;91;143;199;260;327;420;530;609;588;502;464;430;349;296;257;211;160;167;161;222
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2013;6279;97;112;150;219;330;415;529;599;597;543;464;470;365;328;287;210;164;175;159;232
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2014;6210;98;146;132;243;326;472;547;643;585;497;443;424;356;281;221;196;162;153;163;216
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2015;6211;88;125;119;256;318;452;508;590;588;496;484;418;371;284;234;196;161;159;166;198
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2016;6201;94;114;165;249;319;461;537;613;562;523;448;409;329;288;228;182;147;168;161;204
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2017;6118;118;124;143;229;331;403;493;593;580;514;455;403;357;296;239;192;161;167;165;198
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2018;6238;101;109;150;220;333;447;532;581;576;503;448;429;378;300;228;176;169;186;179;193
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2019;5925;86;154;153;247;335;488;531;570;489;458;393;377;322;309;203;162;176;156;150;166
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;MOSKI;ZAPOSLENI - SKUPAJ;2020;6507;83;70;122;199;335;441;627;618;626;569;490;513;412;305;241;210;164;147;154;181
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2009;1594;28;43;60;53;38;47;65;57;66;78;115;120;109;119;119;106;124;73;76;98
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2010;1546;43;45;43;39;45;55;65;64;91;86;112;106;107;94;109;92;108;75;80;89
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2011;1625;34;32;50;50;57;58;76;71;97;87;108;110;115;109;105;105;103;80;80;92
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2012;1669;35;53;65;54;74;59;80;78;94;86;100;104;102;111;108;98;96;98;83;90
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2013;1799;29;43;51;55;66;70;76;79;88;88;101;115;118;107;108;114;95;102;93;91
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2014;1665;35;47;51;57;65;72;80;82;92;95;99;108;118;108;105;116;99;98;86;86
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2015;1688;25;57;55;61;74;73;84;77;103;78;103;106;104;114;102;100;105;102;81;84
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2016;1643;35;39;44;54;72;80;78;72;99;83;92;102;122;121;97;103;90;101;76;83
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2017;1648;39;41;50;58;75;91;80;80;93;98;86;93;124;111;92;103;104;100;84;82
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2018;1681;46;43;52;56;92;88;86;80;81;83;92;93;121;105;97;85;91;123;85;82
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2019;1580;54;45;46;74;51;64;64;100;68;65;102;101;98;112;90;100;86;104;81;75
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;ZENSKE;ZAPOSLENI - SKUPAJ;2020;1677;32;19;43;67;60;68;89;84;91;75;101;119;138;121;95;128;90;96;79;82
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2009;50282;7934;5242;3433;2881;2813;2906;2800;2813;2719;2476;2255;1999;1739;1697;1493;1356;996;785;871;1074
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2010;42984;5974;4526;3523;2968;2669;2686;2424;2336;2206;1974;1704;1616;1518;1417;1242;1082;820;688;735;876
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2011;33407;3966;3565;3183;2387;2174;1944;1943;1886;1715;1573;1318;1293;1122;1101;962;825;664;542;554;690
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2012;27427;3255;2708;2632;1937;1690;1701;1703;1599;1477;1202;1143;1004;969;910;863;649;536;471;495;423
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2013;25598;2622;2205;2748;1704;1649;1636;1551;1570;1406;1181;1043;1032;1003;887;752;654;513;487;461;494
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2014;26083;2683;2067;2996;1702;1663;1606;1611;1563;1520;1233;1051;1097;1044;913;767;650;542;488;438;449
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2015;26253;2720;2246;2777;1769;1697;1608;1574;1580;1411;1280;1135;1111;1047;913;763;690;526;504;478;424
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2016;26265;2721;2293;2805;1763;1709;1657;1703;1543;1354;1233;1219;1133;1064;800;785;596;508;506;454;419
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2017;27078;2923;2811;2729;1846;1614;1634;1709;1545;1376;1284;1204;1138;1109;889;796;609;501;504;459;398
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2018;27978;2791;3098;2708;2015;1593;1615;1609;1583;1459;1325;1212;1170;1178;942;844;660;605;613;532;426
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2019;32872;3666;3657;3237;2193;1888;1835;1880;1689;1603;1564;1491;1392;1285;1165;981;818;721;727;589;491
F GRADBENISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2020;34734;4695;3993;3206;2145;2013;1930;1894;1860;1715;1573;1510;1529;1450;1170;985;845;635;594;520;472
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2009;45797;7574;4900;3222;2702;2627;2713;2624;2580;2447;2227;2005;1724;1516;1455;1277;1134;847;620;706;897
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2010;38947;5620;4292;3296;2777;2497;2495;2225;2103;1958;1756;1515;1377;1309;1230;1029;898;693;556;592;729
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2011;29994;3656;3338;2951;2196;1985;1772;1779;1727;1540;1409;1169;1119;952;923;802;689;546;434;437;570
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2012;24648;3013;2508;2448;1792;1542;1556;1592;1428;1314;1076;1011;874;980;791;721;572;463;379;395;372
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2013;22965;2404;2055;2520;1549;1509;1498;1442;1431;1273;1050;922;899;865;762;640;557;430;385;369;405
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2014;23462;2473;1893;2742;1570;1513;1482;1496;1431;1367;1114;929;962;910;802;650;558;456;403;343;368
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2015;23667;2518;2068;2550;1621;1561;1482;1456;1444;1292;1136;1004;968;922;807;662;588;452;403;378;355
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2016;23603;2475;2111;2597;1613;1571;1520;1568;1424;1225;1108;1061;998;935;678;670;513;420;401;372;343
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2017;24314;2677;2600;2498;1680;1464;1518;1535;1408;1256;1156;1053;986;984;765;673;533;412;415;375;326
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2018;25116;2545;2852;2441;1824;1469;1471;1455;1451;1316;1203;1082;1017;1057;820;726;575;519;516;434;343
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2019;29651;3445;3328;2941;2000;1738;1671;1681;1551;1445;1408;1348;1226;1139;1028;845;724;614;618;497;404
F GRADBENISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2020;31556;4410;3700;2931;1941;1853;1770;1732;1713;1568;1439;1359;1354;1305;1030;861;740;524;506;425;395
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2009;4485;360;342;211;179;186;193;176;233;272;249;250;275;223;242;216;222;149;165;165;177
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2010;4037;354;234;227;191;172;191;199;233;248;218;189;239;209;187;213;184;127;132;143;147
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2011;3413;310;227;232;191;189;172;164;159;175;164;149;174;170;178;160;136;118;108;117;120
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2012;2779;242;200;184;145;138;145;111;171;163;126;132;130;132;128;142;86;86;92;100;97
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2013;2633;218;150;228;155;140;138;109;139;133;131;121;133;138;125;112;97;83;102;92;89
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2014;2621;210;174;254;132;150;124;115;132;153;119;122;135;134;111;117;92;86;85;95;81
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2015;2586;202;178;227;148;136;126;118;136;119;144;131;143;125;106;101;102;74;101;100;69
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2016;2662;246;182;208;150;138;137;135;119;129;125;158;135;129;122;115;83;88;105;82;76
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2017;2764;246;211;231;166;150;116;174;137;120;128;151;152;125;124;123;76;89;89;84;72
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2018;2862;246;246;267;191;124;144;154;132;143;122;130;153;121;122;118;85;86;97;98;83
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2019;3221;221;329;296;193;150;164;199;138;158;156;143;166;146;137;136;94;107;109;92;87
F GRADBENISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2020;3178;285;293;275;204;160;160;162;147;147;134;151;175;145;140;124;105;111;88;95;77
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2009;33624;2360;1782;1498;1182;1201;1270;1437;1670;1905;2167;2407;2277;2416;2290;1994;1695;1332;941;803;997
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2010;32653;2233;1799;1535;1290;1167;1312;1468;1691;1934;2310;2148;2315;2316;2142;1834;1528;1146;807;762;916
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2011;27280;2369;1544;1688;1351;1237;1128;1373;1591;1758;1831;1683;1713;1630;1460;1169;836;638;608;760;913
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2012;32040;2775;1486;1733;1360;1408;1287;1575;1892;2036;2212;2059;2016;2116;1948;1601;1217;922;834;788;1148
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2013;33018;2819;1589;1842;1430;1428;1351;1626;1704;2031;2095;2153;2090;2172;2019;1670;1270;959;905;902;1093
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2014;33376;2764;1557;1940;1456;1440;1408;1614;1843;2102;2150;2165;2193;2082;1849;1621;1257;959;941;946;1089
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2015;33534;2905;1620;1769;1524;1436;1467;1652;1874;2029;2103;2095;2161;1944;1845;1623;1290;958;963;1049;1227
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2016;31614;2922;1791;1787;1528;1400;1542;1714;1896;2154;1922;1944;1888;1635;1595;1298;906;728;746;948;1270
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2017;33011;3105;1879;1931;1658;1609;1653;1823;2016;2174;2038;1993;1888;1607;1562;1356;987;757;771;965;1239
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2018;34662;3528;2081;1899;1802;1601;1789;1986;2015;2012;2081;2080;1886;1762;1659;1418;1068;874;849;1048;1224
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2019;37000;4330;2327;2124;1853;1956;2048;2034;2110;2216;2051;2056;1895;1868;1788;1399;1117;820;882;1024;1102
H PROMET IN SKLADISCENJE;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2020;38380;5020;2541;2241;2012;2086;2286;2331;2184;2228;2113;1956;1831;1862;1654;1480;980;805;880;935;955
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2009;26926;2138;1567;1298;988;1044;1130;1249;1448;1594;1799;1904;1680;1715;1586;1394;1233;1048;749;565;797
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2010;26198;2024;1583;1344;1118;1029;1169;1253;1428;1715;1862;1697;1707;1652;1514;1288;1081;892;624;698;895
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2011;21636;2172;1367;1508;1172;1086;1464;1182;1386;1473;1483;1275;1174;1057;715;686;499;422;428;341;717
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2012;25725;2586;1343;1541;1221;1182;1142;1372;1627;1733;1825;1570;1441;1462;1345;1052;769;673;660;598;913
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2013;26133;2587;1331;1605;1194;1176;1131;1401;1418;1720;1726;1701;1510;1523;1440;1130;815;666;647;728;895
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2014;26533;2518;1321;1685;1195;1184;1176;1360;1577;1804;1756;1709;1562;1448;1310;1156;830;672;688;746;836
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2015;26814;2601;1415;1525;1280;1196;1238;1438;1609;1727;1729;1648;1559;1328;1297;1202;877;641;725;821;958
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2016;25095;2636;1554;1545;1281;1154;1328;1503;1629;1802;1533;1433;1264;1137;1135;912;596;437;500;712;1004
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2017;26410;2834;1621;1650;1390;1367;1439;1584;1743;1809;1634;1489;1287;1107;1096;973;673;485;538;717;974
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2018;27736;3212;1793;1603;1505;1356;1552;1721;1755;1667;1703;1578;1295;1181;1166;1000;749;574;579;804;943
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2019;30106;4033;1993;1811;1592;1707;1796;1773;1793;1839;1609;1524;1335;1306;1297;1048;803;544;641;820;842
H PROMET IN SKLADISCENJE;MOSKI;ZAPOSLENI - SKUPAJ;2020;31567;4751;2279;1989;1737;1806;2002;1980;1839;1862;1673;1419;1216;1325;1242;1076;687;564;667;738;715
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2009;6698;222;215;200;194;157;140;188;222;311;368;503;597;701;704;600;462;284;192;238;200
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2010;6455;209;216;191;172;138;143;215;263;326;448;451;608;664;628;546;447;254;183;475;507
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2011;5644;197;177;180;179;151;129;191;205;285;348;408;539;573;400;483;337;216;180;410;196
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2012;6315;189;143;192;139;204;145;203;265;303;387;489;575;654;603;549;448;249;218;190;264
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2013;6885;232;258;237;236;252;220;236;286;311;369;452;580;649;579;540;455;293;238;478;507
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2014;6843;246;236;255;261;256;232;254;266;298;394;456;631;634;539;465;427;287;253;200;253
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2015;6720;304;205;244;244;240;229;214;265;302;374;447;602;616;548;421;413;317;238;228;269
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2016;6519;286;237;242;247;246;214;211;267;352;389;511;624;498;460;386;310;291;246;236;266
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2017;6601;271;258;281;268;242;214;239;273;365;404;504;601;500;466;383;314;272;233;248;265
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2018;6926;316;288;296;297;245;237;265;260;345;378;502;591;581;493;418;319;300;270;244;281
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2019;6894;297;334;313;261;249;252;261;317;377;442;532;560;562;491;351;314;276;241;204;260
H PROMET IN SKLADISCENJE;ZENSKE;ZAPOSLENI - SKUPAJ;2020;6813;269;262;252;275;280;284;351;345;366;440;537;615;537;412;404;293;241;213;197;240
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2009;19545;1974;2401;2109;1651;1340;1443;1374;1186;1063;956;772;643;502;465;405;331;215;271;207;237
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2010;18874;1741;2333;2167;1728;1543;1500;1259;1107;963;825;674;581;482;408;371;281;221;250;194;228
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2011;17505;1725;2021;2130;1645;1451;1243;1156;1043;854;687;633;501;481;364;338;284;222;224;162;228
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2012;17182;1955;1989;2058;1574;1431;1284;1092;973;825;712;598;478;429;340;317;250;237;209;191;240
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2013;16786;1778;1840;1984;1470;1458;1238;1045;1058;906;645;564;476;432;368;304;253;234;213;168;215
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2014;16266;1826;1699;2030;1564;1394;1210;1067;998;817;627;548;500;422;318;317;250;196;201;168;202
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2015;16485;1922;1758;1924;1644;1366;1180;1085;1054;795;667;557;467;427;334;269;248;229;197;158;204
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2016;16878;1605;1743;2028;1863;1468;1316;1136;968;847;645;598;547;422;349;305;231;251;195;148;213
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2017;17655;1752;2102;2067;1765;1527;1273;1163;1023;891;761;620;553;434;367;353;239;245;200;170;197
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2018;18450;1561;2106;2171;1893;1579;1389;1269;1065;939;746;732;638;501;401;317;266;269;240;175;193
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2019;19536;1628;2207;2258;2013;1668;1524;1318;1147;982;899;755;637;546;476;325;274;267;224;173;215
I GOSTINSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2020;17707;2267;2673;2336;1859;1499;1245;1012;932;695;600;527;446;355;263;233;224;144;119;134;144
I GOSTINSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2009;7546;794;808;622;504;455;495;524;497;452;432;367;286;223;235;207;174;119;130;93;129
I GOSTINSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2010;7438;651;807;723;600;557;532;497;490;433;362;324;265;228;204;158;147;102;109;88;102
